candidate,model_count,tta,val_acc,val_nll
ensemble_3seed,3,No,0.9973809523809524,0.04658976569771767
single_existing_tta,1,Yes,0.996904761904762,0.045221034437417984
ensemble_3seed_tta,3,Yes,0.996904761904762,0.04681806266307831
single_existing,1,No,0.9961904761904762,0.04519670829176903
